,Cloud and Capacity,Storage ,Storage Technical Specialist,Hitachi HDS (SAN),Trainings & Certification,SAN Prereq: Foundations of Storage (SS0DG) ; Storage Area networking Fundamentals (SN71DG) ,Storage Concepts: Storing And Managing Digital Data,Storage administration (HQT-6740)  ITIL Foundation,Replication (HCE-3710) ,,Hitachi Enterprise (HCE-4130) ,Storage Virtualization (HCE-5730) Replication (HCE-5710)  ITIL SO (or IT4IT L1) ITIL CSI  ,,,,,,
,Product team,Database management on public cloud,Database management on public cloud,Azure,Azure,,,,,Azure Fundamentals: If you are new to Azure ; Start with Azure Fundamentals.  Learn cloud concepts such as High Availability ; Scalability ; Elasticity ; Agility ; Fault Tolerance ; and Disaster Recovery Understand the benefits of cloud computing in Azure and how it can save you time and money Compare and contrast basic strategies for transitioning to the Azure cloud Explore the breadth of services available in Azure including compute ; network ; storage and security,AZ-104: Microsoft Azure Administrator  Manage subscriptions ; accounts ; Azure policies ; and Role-Based Access Control Implement and manage Azure storage Deploy ; manage and scale Azure virtual machines Configure and manage Azure virtual networks Configure and manage Traffic Mangement Manage and Secure identities with Azure Active Directory and users and groups Administer Azure using the Resource Manager ; Azure portal ; Cloud Shell ; Azure PowerShell ; CLI ; and ARM templates. Configure virtual networks including planning ; IP addressing ; Azure DNS ; Network Security Groups ; and Azure Firewall. Configure intersite connectivity solutions like VNet Peering ; virtual network gateways ; and Site-to-Site VPN connections. Manage network traffic using network routing and service endpoints ; Azure load balancer ; and Azure Application Gateway. Implement ; manage and secure Azure storage accounts ; blob storage ; and Azure files with File Sync. Administer Azure App Service ; Azure Container Instances ; and Kubernetes. Backup files ; folders ; and virtual machines. Monitor the Azure infrastructure with Azure Monitor ; Azure alerts ; Log Analytics ; and Network Watcher.,Microsoft Certified: Azure Solutions Architect Expert  Implement management and security solutions Implement solutions for apps Implement and manage data platforms Design monitoring Design identity and security Design data storage Design business continuity Design infrastructure AZ-303: Microsoft Azure Architect Technologies   Azure Security Engineer Associate  Candidates for the Azure Security Engineer certification should have subject matter expertise implementing security controls and threat protection ; managing identity and access ; and protecting data ; applications ; and networks in cloud and hybrid environments as part of an end-to-end infrastructure.  Manage identity and access Implement platform protection Manage security operations Secure data and applications AZ-500: Microsoft Azure Security Technologies,,,,,,
,Product team,Database management on public cloud,Database management on public cloud,Azure,Azure Trainings and Certifications,,,,,AZ-900: Azure Fundamentals,AZ-104: Microsoft Azure Administrator,"	 AZ-303: Microsoft Azure Architect Technologies  AZ-500: Microsoft Azure Security Technologies",,,,,,
,Product team,Database management on public cloud,Database management on public cloud,Azure,Azure,,,,,Microsoft Certified: Azure Data Fundamentals:  Candidates for the Azure Data Fundamentals certification should have foundational knowledge of core data concepts and how they are implemented using Microsoft Azure data services  Describe core data concepts Describe how to work with relational data on Azure Describe how to work with non-relational data on Azure Describe an analytics workload on Azure,Microsoft Certified: Azure Database Administrator Associate  The Azure Database Administrator implements and manages the operational aspects of cloud-native and hybrid data platform solutions built with Microsoft SQL Server and Microsoft Azure Data Services.  Plan and implement data platform resources Implement a secure environment Monitor and optimize operational resources Optimize query performance Perform automation of tasks Plan and implement a High Availability and Disaster Recovery (HADR) environment Perform administration by using T-SQL,,,,,,,
,Product team,Database management on public cloud,Database management on public cloud,Azure,Azure Trainings and Certifications,,,,,DP-900,DP-300,,,,,,,
,Product team,Database management on public cloud,Database management on public cloud,Other,Other ,,,,,,Course DP-070T00-A: Migrate Open Source Data Workloads to Azure Course WS-050T00-A: Migrating Application Workloads to Azure Course DP-050T00-A: Migrate SQL workloads to Azure,Course 40514-G: Microsoft Cloud Workshop: Migrating Oracle to Azure SQL or Postgre SQL Course 40562-G: Migrating SQL databases to Azure Course AZ-304T00-A: Microsoft Azure Architect Design,,,,,,
,Product team,Database management on public cloud,Database management on public cloud,Practical Knowledge,Practical Knowledge,,,,,,Participation in 1+ public cloud migration projects Ability to explain solution to customers Proactive improvement proposals for customers To deploy RDBMS system in Azure based on TietoEVRY reference architecture,Participation on DB on Azure development Participation on 1+ migration projects Mentoring / training others Participation on sales discussions & RFPs Represents company on public events,,,,,,
,Product team,SAP,ERP specialist,Azure,Azure ,,,,,"	 If you are new to Azure ; start with Azure Fundamentals.  Learn cloud concepts such as High Availability ; Scalability ; Elasticity ; Agility ; Fault Tolerance ; and Disaster Recovery Understand the benefits of cloud computing in Azure and how it can save you time and money Compare and contrast basic strategies for transitioning to the Azure cloud Explore the breadth of services available in Azure including compute ; network ; storage and security",SAP certified offerings for Azure  These modules will provide the basis for running SAP workloads in Azure.  1.Introduction to Azure for SAP Workloads  2.Deploy SAP Certified offerings on Azure  3.Using IaaS Support with Azure for SAP Workloads  4.SAP HANA on Azure Compute ; Network and Storage,AZ-120: Planning and Administering Microsoft Azure for SAP Workloads  Migrate SAP Workloads to Azure Design an Azure Solution to Support SAP Workloads Build and Deploy Azure SAP Workloads Validate Azure Infrastructure for SAP Workloads Operationalize Azure SAP Architecture,,,,,,
,Product team,SAP,ERP specialist,Azure,Azure trainings and Certifications,,,,,Azure Fundamentals  AZ-900: Azure Fundamentals,SAP certified offerings for Azure,AZ-120: Planning and Administering Microsoft Azure for SAP Workloads,,,,,,
,Product team,SAP,ERP specialist,Azure for SAP,Azure for SAP,,,,,Introduction to Azure for SAP workload:  Explore the breadth of services available in Azure including compute ; network ; storage and security    Introduction to SAP on Azure Azure Compute for SAP Workloads Azure Storage for SAP Workloads Azure Networking Azure (Large Instances) for SAP HANA Identity Services for SAP Workloads,SAP on Azure – Intermediate  This learning path provides intermediate-level resources on implementing SAP solutions on Azure.  1.SAP HANA Large Instance overview and architecture on Azure 2.SAP HANA on Azure virtual machines 3.SAP NetWeaver on Azure Virtual Machines 4.Azure Active Directory SAP identity integration and single sign on  ,Planning Azure for SAP workloads: In this learning path ; you see how to plan for a deployment of SAP solutions on Azure. You will also consider the preparation required for migrating SAP workloads to Azure.  1.Utilize Azure for SAP Workloads reference architecture 2.Planning for implementing SAP solutions on Azure 3.Prepare to migrate SAP Workloads to Azure  SAP on Azure Architect Design and Deployment Series (18728):  1.Introductions and Azure foundations for SAP 2.Azure Core infrastructure for SAP 3.Key design aspects for SAP on Azure 4.Resiliency on Azure 5.SAP deployments on Azure availability Zones 6.SAP automation deployments on VM 7.SAP HANA Large instances 8.SAP data protection – backup 9.Azure NetApp Files for enterprise 10.SAP deployment architecture examples and closing,,,,,,
,Product team,SAP,ERP specialist,Azure for SAP,Azure for SAP trainings and Certifications,,,,,Introduction to Azure for SAP workload,Highly Recommended to complete the AZ-103 and AZ-120 Certifications,,,,,,,
,Product team,SAP,ERP specialist,Azure,Azure ,,,,,,AZ-104: Microsoft Azure Administrator  Manage subscriptions ; accounts ; Azure policies ; and Role-Based Access Control Implement and manage Azure storage Deploy ; manage and scale Azure virtual machines Configure and manage Azure virtual networks Configure and manage Traffic Mangement Manage and Secure identities with Azure Active Directory and users and groups Administer Azure using the Resource Manager ; Azure portal ; Cloud Shell ; Azure PowerShell ; CLI ; and ARM templates. Configure virtual networks including planning ; IP addressing ; Azure DNS ; Network Security Groups ; and Azure Firewall. Configure intersite connectivity solutions like VNet Peering ; virtual network gateways ; and Site-to-Site VPN connections. Manage network traffic using network routing and service endpoints ; Azure load balancer ; and Azure Application Gateway. Implement ; manage and secure Azure storage accounts ; blob storage ; and Azure files with File Sync. Administer Azure App Service ; Azure Container Instances ; and Kubernetes. Backup files ; folders ; and virtual machines. Monitor the Azure infrastructure with Azure Monitor ; Azure alerts ; Log Analytics ; and Network Watcher.,Microsoft Certified: Azure Solutions Architect Expert  Implement management and security solutions Implement solutions for apps Implement and manage data platforms Design monitoring Design identity and security Design data storage Design business continuity Design infrastructure AZ-303: Microsoft Azure Architect Technologies     Azure Security Engineer Associate  Candidates for the Azure Security Engineer certification should have subject matter expertise implementing security controls and threat protection ; managing identity and access ; and protecting data ; applications ; and networks in cloud and hybrid environments as part of an end-to-end infrastructure.  Manage identity and access Implement platform protection Manage security operations Secure data and applications AZ-500: Microsoft Azure Security Technologies,,,,,,
,Product team,SAP,ERP specialist,Azure,Azure trainings and Certifications,,,,,,"AZ-104: Microsoft Azure Administrator	 ","	 AZ-303: Microsoft Azure Architect Technologies   AZ-500: Microsoft Azure Security Technologies",,,,,,
,Product team,SAP,ERP specialist,SAP,SAP,,,,,SAP Certified Technology Associate – System Administration (SAP ASE) with SAP NetWeaver 7.5  SAP Adaptive Server Enterprise Overview SAP ASE Server Operations SAP ASE Administration Tools SAP ASE Internal Architecture and Configuration Monitor SAP ASE using DBA Cockpit SAP ASE Space Management SAP ASE Security Business Continuity Planning SAP ASE Life Cycle Management,,,,,,,,
,Product team,SAP,ERP specialist,SAP,SAP trainings and Certifications,,,,,C_TADM54_75  SAP Certified Technology Associate – System Administration (SAP ASE) with SAP NetWeaver 7.5,,,,,,,,
